index,salary_id,employer_name,location_name,Latitude,Longitude,location_state,location_country,job_title,job_title_category,job_title_rank,total_experience_years,employer_experience_years,annual_base_pay,signing_bonus,annual_bonus,stock_value_bonus,comments,submitted_at
0,1,opower,"san francisco, ca",37.7749295,-122.4194155,CA,US,systems engineer,Engineering,,13.0,2.0,125000.0,5000.0,0.0,5000 shares,Don't work here.,3/21/16 12:58
1,3,walmart,"bentonville, ar",36.3723561,-94.2102141,AR,US,senior developer,Software,Senior,15.0,8.0,65000.0,,5000.0,"3,000",,3/21/16 12:58
2,4,vertical knowledge,"cleveland, oh",41.49932,-81.6943605,OH,US,software engineer,Software,,4.0,1.0,86000.0,5000.0,6000.0,0,,3/21/16 12:59
3,6,netapp,waltham,42.3764852,-71.2356113,,,mts,Other,,4.0,0.0,105000.0,5000.0,8500.0,0,,3/21/16 13:00
4,12,apple,cupertino,37.3229978,-122.0321823,,,software engineer,Software,,4.0,3.0,110000.0,5000.0,7000.0,150000,,3/21/16 13:02
5,14,casino,eastern oregon,44.4383953,-118.8917537,OR,US,it technician,Other,,5.0,1.5,40000.0,0.0,500.0,0,,3/21/16 13:03
6,16,tetra tech,"madison, wi",43.0721661,-89.4007501,WI,US,lead interviewer,Other,,4.0,2.5,45000.0,0.0,1500.0,,,3/21/16 13:03
7,17,knewton,new york city,40.7127753,-74.0059728,NY,US,senior software engineer,Software,Senior,8.0,2.0,135000.0,0.0,0.0,,,3/21/16 13:03
8,21,amplify,nyc,40.7127753,-74.0059728,,,software engineer,Software,,2.0,1.0,105000.0,0.0,47000.0,0,,3/21/16 13:04
9,23,sqor,san francisco,37.7749295,-122.4194155,,,infrastructure/platform engineer,Engineering,,1.0,1.0,80000.0,0.0,0.0,500,,3/21/16 13:04
10,24,pensco trust company,"denver, co",39.7392358,-104.990251,CO,US,senior software engineer,Software,Senior,10.0,1.5,120000.0,0.0,6000.0,0,,3/21/16 13:04
11,25,thoughtworks,chicago,41.8781136,-87.6297982,,,"software developer, consultant",Software,,2.0,2.0,78000.0,0.0,0.0,0,,3/21/16 13:04
12,30,purdue,"west lafayette, in",40.4258686,-86.9080655,IN,US,web developer,Web,,2.0,1.5,60000.0,,,,Discounted education for employees.,3/21/16 13:05
13,34,small b2b company,minneapolis,44.977753,-93.2650108,,,analyst,Data,,4.0,1.0,63000.0,0.0,2000.0,0,,3/21/16 13:05
14,35,small b2b company,minneapolis,44.977753,-93.2650108,,,analyst,Data,,4.0,1.0,63000.0,0.0,2000.0,0,,3/21/16 13:05
15,36,sqli,bordeaux,44.837789,-0.57918,,,it project manager,Management,,8.0,3.0,38.0,0.0,0.0,0,,3/21/16 13:05
16,37,slalom,seattle,47.6061389,-122.3328481,,,senior engineer,Engineering,Senior,5.0,1.0,93000.0,0.0,15000.0,0,,3/21/16 13:05
17,39,magento commerce,"charleston, sc",32.7833163,-79.9319664,SC,US,member of technical staff,Other,,19.0,1.0,131000.0,,,80000,Remote,3/21/16 13:06
